ID,Sex,Age,ParticipantLTR,PartnerNumber,HadSex,AgeSex,Orientation,ParticipantLifetimeSexPartners,PastYearSexPartners,PastMonthSex,GenHealth,CMVS1,CMVS2,CMVS3,CMVS4,CMVS5,CMVS6,CMVS7,CMVS8,CMVS9,CMVS10,CMVS11,CMVS12,CMVS13,CMVS14,CMVS15,CMVS16,CMVS17,CMVS18,CMVS19,CMVS20,CMVS21,CMVS22,CMVS23,CMVS24,CMVS25,CMVS26,SOIR1,SOIR2,SOIR3,SOIR4,SOIR5,SOIR6,SOIR7,SOIR8,SOIR9,SDQ1,SDQ2,SDQ3,SDQ4,MiniK1,MiniK2,MiniK3,MiniK4,MiniK5,MiniK6,MiniK7,MiniK8,MiniK9,MiniK10,MiniK11,MiniK12,MiniK13,MiniK14,MiniK15,MiniK16,MiniK17,MiniK18,MiniK19,MiniK20
332,2,34,1,3,1,14,1,4,1,0,3,3,2,5,7,5,5,2,1,4,6,2,7,4,6,7,7,7,3,3,6,4,7,6,2,2,2,2,2,2,9,9,9,7,2,1,5,3,4,4,5,5,3,5,7,7,3,7,4,7,7,1,7,5,6,3,3,2,1,1
333,1,36,1,8,1,12,2,6,1,6,2,3,2,3,4,3,3,5,6,6,5,5,3,2,3,2,2,3,1,3,3,3,2,5,2,7,5,2,6,6,9,9,9,8,7,7,5,4,4,4,5,6,6,5,4,3,3,2,2,5,2,1,2,4,3,4,3,4,1,1
334,2,47,1,6,1,17,1,20,1,5,4,4,4,4,5,4,2,5,5,4,4,5,6,7,6,2,3,4,7,6,5,4,3,3,3,4,5,2,5,6,9,9,9,4,4,5,5,4,3,5,5,5,3,4,7,6,1,1,7,6,6,5,2,1,1,7,7,7,7,2
335,1,45,1,10,1,18,2,15,1,0,2,4,4,4,5,4,6,4,4,6,6,6,6,4,4,5,6,5,3,2,4,3,4,5,4,5,4,2,1,2,9,8,4,6,7,6,5,4,4,3,5,5,5,6,3,3,6,5,4,5,5,5,5,6,6,3,3,4,3,4
336,2,37,1,3,1,15,1,5,1,2,3,5,6,6,5,6,2,7,7,7,7,5,1,2,3,7,7,7,1,1,7,4,7,7,2,7,2,2,1,2,9,5,2,4,3,4,5,4,4,5,5,5,5,5,6,7,2,4,6,5,7,5,7,6,6,2,2,2,2,2
337,2,43,1,5,1,16,1,5,1,15,3,1,1,1,4,1,1,4,4,4,1,4,1,4,7,7,7,7,1,1,1,1,4,1,2,2,2,2,1,1,1,1,1,1,1,1,5,4,1,4,6,7,7,6,6,5,1,1,6,6,7,7,1,1,1,7,7,7,1,1
338,1,32,1,1,1,31,2,1,1,22,5,1,1,2,6,3,7,4,2,2,1,2,1,1,1,6,5,7,3,3,2,4,4,1,2,2,2,2,1,1,1,1,1,2,2,2,5,4,4,4,6,7,7,7,7,5,7,7,4,7,4,7,7,7,7,7,7,7,7,7
339,2,56,1,4,1,17,1,3,1,8,5,2,2,2,3,2,4,3,2,2,2,2,4,2,2,4,5,6,3,3,2,2,3,2,2,2,2,2,1,1,1,1,2,1,1,1,5,4,2,4,6,6,6,6,6,6,7,7,7,7,7,7,7,7,7,7,7,7,7,7
340,2,32,1,5,1,16,1,5,1,7,4,2,2,2,2,2,2,2,2,2,2,6,2,2,2,2,2,2,2,2,2,2,2,2,6,6,6,2,2,1,1,1,2,1,1,1,5,3,3,4,6,6,6,6,6,6,6,6,1,6,5,5,5,5,5,5,5,5,5,5
341,2,45,1,6,1,16,1,10,1,1,3,2,2,2,4,2,2,3,3,4,2,3,1,1,1,7,7,7,1,1,1,1,4,2,2,5,2,2,2,1,1,1,1,2,1,1,5,2,1,4,6,7,6,7,7,6,1,1,7,5,7,7,5,2,5,6,6,6,5,7
342,1,63,1,10,1,19,2,15,1,12,3,2,3,3,4,3,6,3,5,4,3,3,2,2,2,5,6,6,2,4,5,2,6,4,2,3,2,2,4,6,1,1,5,4,5,3,5,4,3,5,6,2,7,7,6,3,6,4,5,7,7,5,7,4,4,6,6,6,6,6
343,1,45,1,8,1,17,2,7,1,7,4,2,3,3,3,3,4,1,1,3,3,4,1,1,1,4,6,6,2,1,4,2,7,4,2,2,2,2,3,1,1,1,1,1,1,1,5,4,1,6,6,6,5,7,7,6,1,7,7,7,7,7,6,5,6,6,6,6,5,6
344,2,36,1,2,1,29,1,1,1,1,3,3,2,4,5,3,7,3,3,4,3,3,3,2,4,6,6,7,3,4,3,3,5,4,2,3,3,2,1,1,1,1,9,1,1,2,5,4,1,4,6,7,7,5,6,4,7,7,7,6,7,7,7,7,7,5,5,5,4,5
345,1,29,1,3,1,18,2,3,1,1,4,3, ,3,4,4,4,3,3,3,3,3,2,2,3,4,4,4,3,3,3,3,4,3,3,3,3,2,1,1,1,1,1,4,4,4,5,4,3,4,6,6,6,6,6,5,7,7,1,6,7,6,6,6,6,6,6,6,5,1
346,2,38,1,3,1,19,1,1,1,10,3,4,2,2,5,2,3,2,1,3,1,2,1,1,1,5,6,6,2,2,4,3,6,5,2,2,2,2,1,1,1,1,1,1,1,1,5,4,1,4,6,6,6,6,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
347,1,37,1,3,1,21,2,4,4,1,3,4,2,3,3,4,3,2,3,4,3,6,3, ,5,2,3,2,3,3,2,5,3,2,6,5,5,2,2,3,1,4,7,7,4,5,5,4,4,5,6,7,6,5,6,7,6,5,6,7,6,7,6,5,6,7,6,5,5,6
348,1,49,1,1,1,25,2,2,1,10,4,4,4,4,5,5,6,3,2,4,2,2,4,1,2,4,4,4,2,3,3,4,4,4,3,3,5,2,2,2,1,5,8,2,2,2,5,4,2,4,6,7,7,7,7,6,7,7,7,7,2,5,7,7,7,7,6,7,7,7
349,2,34,1,3,1,23,1,2,1,2,3,5,5,5,5,5,6,5,5,5,6,5,1,2,2,6,6,6,3,5,3,5,5,5,3,3,3,2,1,1,1,1,2,1,1,1,5,3,3,4,6,6,6,6,6,6,1,2,4,6,6,6,5,5,5,5,5,5,5,7
350,2,34,1,3,1,24,1,1,1,9,4,5,5,7,7,7,7,2,2,2,2,2,1,1,1,7,7,7,7,6,7,4,5,3,2,2,2,2,1,1,1,1,1,1,1,1,5,4,1,4,6,7,5,7,7,7,1,3,7,7,7,7,4,4,4,5,4,4,4,4
351,1,30,1,1,2, ,2,1,1,12,4,5,3,5,5,5,6,2,1,1,2,3,2,2,1,2,5,2,3,5,3,3,3,5,2,2,3,2,2,2,1,2,2,1,1,1,5,4,2,6,6,6,6,7,7,5,6,7,6,7,2,5,7,7,7,7,7,7,6,6
352,1,36,1,3,1,21,2,4,1,1,4,2,4,3,3,4,3,3,4,3,2,4,4,3,3,4,3,4,3,2,3,4,3,4,5,5,6,2,2,2,2,6,7,3,4,5,5,4,5,5,6,6,6,7,7,3,6,6,6,6,6,5,6,5,6,5,6,6,6,5
