Participant,Sex,Age,Ethnicity,DATE,Sexual_orientation,Lifetime_sex_partners,Casual_sex_partners,Intrasexual_Competition_1,Intrasexual_Competition_2,Intrasexual_Competition_3,Intrasexual_Competition_4,Intrasexual_Competition_5,Intrasexual_Competition_6,Intrasexual_Competition_7,Intrasexual_Competition_8,Intrasexual_Competition_9,Intrasexual_Competition_10,Intrasexual_Competition_11,Intrasexual_Competition_12,INTRASEXUAL_COMPETITION_MEAN
188,1,18,5,0,0,11,3,1,3,2,3,1,1,1,2,4,3,1,2,2
253,1,18,0,0,0,0,0,7,6,2,7,4,1,1,1,7,7,5,1,4.08333333333333
275,1,18,0,0,0,3,2,1,1,1,2,1,1,1,1,3,2,1,1,1.33333333333333
283,1,18,1,0,0,2,1,5,2,3,3,3,1,1,3,2,6,3,3,2.91666666666667
106,1,17,0,1,0,7,0,4,1,2,3,4,2,2,2,2,2,2,2,2.33333333333333
284,1,20,0,4,1,0,1,5,2,1,1,1,1,1,1,6,5,4,1,2.41666666666667
182,1,27,0,0,2,25,20,5,4,2,4,1,2,1,1,2,4,4,4,2.83333333333333
6,1,23,0,0,0,4,3,2,2,2,2,1,1,2,1,4,2,1,2,1.83333333333333
75,1,23,0,0,1,5,3,1,1,1,1,1,1,1,1,2,1,1,1,1.08333333333333
270,1,19,0,1,0,2,0,2,2,2,2,2,2,3,2,3,2,2,3,2.25
145,1,33,0,1,0,7,5,1,1,1,4,1,1,1,1,2,2,1,1,1.41666666666667
115,1,31,0,1,0,3,1,1,1,1,5,1,1,1,1,1,3,1,1,1.5
1,1,29,0,1,0,4,1,1,1,3,2,2,2,2,1,3,3,2,3,2.08333333333333
80,1,29,0,0,0,20,4,2,4,1,5,1,1,1,1,3,4,2,2,2.25
9,1,28,0,1,0,3,0,3,3,3,3,3,3,3,3,3,4,3,3,3.08333333333333
38,1,28,0,1,0,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1
127,1,28,0,1,0,4,1,1,1,1,4,1,1,1,1,2,2,2,1,1.5
131,1,28,0,0,2,4,1,1,1,1,1,1,4,1,1,1,1,1,1,1.25
10,1,27,0,1,0,19,13,3,3,4,2,4,5,4,2,5,6,2,4,3.66666666666667
77,1,27,0,0,0,11,3,5,5,7,7,2,2,5,1,7,7,7,7,5.16666666666667
78,1,27,0,1,0,3, ,1,1,1,1,1,1,1,1,1,1,1,1,1
8,1,26,0,1,0,7,5,6,5,5,6,1,1,5,1,3,7,5,1,3.83333333333333
13,1,26,0,1,0,6,1,2,1,3,2,1,1,2,1,2,2,1,1,1.58333333333333
159,1,26,0,0,0,0,1,4,2,3,2,2,2,2,2,2,2,2,2,2.25
12,1,25,0,1,0,10,4,2,1,1,3,1,1,1,1,7,1,1,1,1.75
86,1,25,0,1,0,8,5,1,2,1,4,1,1,1,1,4,5,2,1,2
92,1,25,0,1,0,6,1,2,2,3,2,2,2,2,1,4,4,3,3,2.5
