ID,DATA_SET,SEX,ICS1,ICS2,ICS3,ICS4,ICS5,ICS6,ICS7,ICS8,ICS9,ICS10,ICS11,ICS12
437,2,1,1,4,1,5,1,1,2,1,7,6,6,2
438,2,1,1,1,1,4,1,1,1,1,2,2,2,1
439,2,1,1,2,1,1,1,1,2,1,2,2,2,2
440,2,0,5,4,4,4,2,2,2,1,6,6,6,6
441,2,1,4,3,7,7,1,4,7,1,7,7,7,6
442,2,1,1,1,1,1,1,4,1,1,1,1,1,1
443,2,0,5,5,4,5,3,4,5,7,6,5,5,4
444,2,1,1,2,1,2,1,1,1,1,1,1,1,1
445,2,1,2,1,2,3,1,1,1,1,3,3,1,1
446,2,1,4,1,3,5,1,3,3,7,5,5,4,4
447,2,1,5,3,4,6,2,2,2,3,6,6,5,3
448,2,1,4,4,5,5,3,3,3,2,5,5,5,4
449,2,0,1,1,1,1,1,2,1,1,2,2,1,1
450,2,0,1,1,1,2,1,1,1,1,1,2,2,2
451,2,0,3,2,4,3,4,3,4,3,5,3,4,5
452,2,0,2,2,2,4,1,1,1,1,5,5,3,2
